#ffe800,yellow-u
#ffe000,yellow-012-u
#ff6c2f,orange-021-u
#ff665e,warm-red-u
#f65058,red-032-u
#db487e,rubine-red-u
#e44c9a,rhodamine-red-u
#bf53b6,purple-u
#7758b3,violet-u
#3f43ad,blue-072-u
#39499c,reflex-blue-u
#0083c3,process-blue-u
#00ac8c,green-u
#615d59,black-u
#fbf59b,yellow-0131-u
#ffb1be,red-0331-u
#f8aadd,magenta-0521-u
#ba93df,violet-0631-u
#6cd1ef,blue-0821-u
#78e6d0,green-0921-u
#9d9994,black-0961-u
#009ccd,801-u
#3bd23d,802-u
#ffe916,803-u
#ffaa52,804-u
#ff7477,805-u
#ff48b0,806-u
#e838bf,807-u
#ad986e,871-u
#ac936e,872-u
#ae906f,873-u
#ae8f6f,874-u
#b18b74,875-u
#b08770,876-u
#b4b7b9,877-u
#ffe100,medium-yellow-u
#ff7133,bright-orange-u
#fe5442,bright-red-u
#d23b6a,strong-red-u
#d1428d,pink-u
#65428a,medium-purple-u
#444795,dark-blue-u
#0087c7,medium-blue-u
#00ae8f,bright-green-u
#4c4845,neutral-black-u
#fef380,100-u
#fff166,101-u
#ffec2d,102-u
#b49f29,103-u
#9b8d39,104-u
#7d7547,105-u
#fee5a5,7401-u
#f3da9a,7402-u
#f4cf81,7403-u
#fdcf41,7404-u
#e6b10e,7405-u
#f1b828,7406-u
#cca36e,7407-u
#ffeb68,106-u
#ffe552,107-u
#ffdd35,108-u
#ffc700,109-u
#cc9f26,110-u
#9c873b,111-u
#8a7a3e,112-u
#ffe15e,113-u
#ffd94a,114-u
#ffce2e,115-u
#ffb511,116-u
#b78c30,117-u
#9e8139,118-u
#847748,119-u
#fce385,127-u
#fccf61,128-u
#faaf3f,129-u
#f79b2e,130-u
#ba8032,131-u
#977a3c,132-u
#7c7047,133-u
#ffe495,1205-u
#ffda7e,1215-u
#ffbb4f,1225-u
#ffae3b,1235-u
#bb8b41,1245-u
#a08246,1255-u
#887549,1265-u
#ffd96a,120-u
#ffcc52,121-u
#ffc03f,122-u
#ffac2a,123-u
#d79133,124-u
#a6813d,125-u
#8e7742,126-u
#ffc915,7548-u
#ffb838,7549-u
#ce973d,7550-u
#ae8643,7551-u
#826f4b,7552-u
#70654b,7553-u
#6c6558,7554-u
#d7a95a,7555-u
#bc995d,7556-u
#a58d5f,7557-u
#9b835e,7558-u
#977f5e,7559-u
#8e7e62,7560-u
#807964,7561-u
#ffd378,134-u
#ffc267,135-u
#ffad4a,136-u
#ff9f37,137-u
#d37c32,138-u
#9d6f3c,139-u
#7f6a45,140-u
#ffd591,1345-u
#ffc87e,1355-u
#ffad5b,1365-u
#ff9940,1375-u
#cd7e3e,1385-u
#946e43,1395-u
#796648,1405-u
#f9c16e,141-u
#f8b05d,142-u
#f6a04d,143-u
#f38b3c,144-u
#c97f3a,145-u
#9d7441,146-u
#76694a,147-u
#ee9d26,7408-u
#f7ad50,7409-u
#ffa06e,7410-u
#e9a16f,7411-u
#d08c60,7412-u
#de8958,7413-u
#c07f53,7414-u
#bda078,7562-u
#daa563,7563-u
#de9858,7564-u
