#f2f0a1,yellow-0131-c
#fcaebb,red-0331-c
#f1b2dc,magenta-0521-c
#bf9bde,violet-0631-c
#74d1ea,blue-0821-c
#9de7d7,green-0921-c
#9e978e,black-0961-c
#f2eeca,9140-c
#fac9d1,9284-c
#f3c9e4,9324-c
#d1b6e4,9344-c
#9fdded,9464-c
#afeadc,9524-c
#ada79e,9084-c
#f1f0d8,9060-c
#f5e2e2,9280-c
#f2dee9,9320-c
#e7dcea,9340-c
#d5ebee,9460-c
#d7efe7,9520-c
#ccc8bf,9083-c
#f1f1de,9064-c
#f2ebe7,9285-c
#f2e9ea,9061-c
#eee9ea,9345-c
#e6eeec,9062-c
#e7efe7,9063-c
#dfdcd4,9081-c
#e8e6df,9043-c
#e4e2db,9080-c
#e7e7e0,9100-c
#e3e3dd,9101-c
#d9dbd5,9102-c
#d5d8d2,9103-c
#d2cdc3,9082-c
#f1f0b0,9121-c
#f1efb7,9120-c
#f2edc0,9141-c
#e9e4c5,9142-c
#e7dbb9,9161-c
#e3dfc3,9143-c
#e2d9c2,9162-c
#f4e5c0,9160-c
#f3e4cd,9180-c
#f4e3c9,9181-c
#f5e1cc,9200-c
#f5e3cc,9201-c
#f5e0cf,9220-c
#edd6c4,9221-c
#efe4ce,9184-c
#ede1cf,9185-c
#eddecd,9202-c
#ecdcc8,9182-c
#e5d7c5,9183-c
#e4d5c4,9203-c
#e1d3c4,9186-c
#f2e9db,9224-c
#f0e6d8,9225-c
#ebe3d7,9226-c
#e6d5c8,9222-c
#e1d3c7,9223-c
#e9d5cd,9242-c
#e1cec6,9243-c
#f3e9e2,9244-c
#f4e5de,9240-c
#f5deda,9260-c
#f0ddd7,9241-c
#efd7d4,9261-c
#ead5d2,9262-c
#e4d1cd,9263-c
#f6dfe0,9286-c
#f2ddde,9281-c
#f4dde2,9300-c
#efdadb,9282-c
#f0dbe1,9301-c
#edd5e2,9321-c
#e9ced5,9302-c
#f1e7e4,9021-c
#f0e7e9,9022-c
#eae3ea,9023-c
#e9d8d7,9283-c
#e7d2d6,9303-c
#e9d0dc,9322-c
#e2ccd6,9323-c
#ded8eb,9360-c
#e3d7e6,9341-c
#e0d4e2,9342-c
#ded1e1,9343-c
#dcd3e7,9361-c
#dcd4e5,9362-c
#d1c7d9,9363-c
#dee1ec,9380-c
#dadfec,9384-c
#d2d9e8,9381-c
#cdd2e6,9382-c
#d1d5e3,9383-c
#ced5df,9385-c
#ced9e4,9403-c
#d6e1ec,9400-c
#d5e1ed,9401-c
#d5e0ea,9402-c
#d1e2ec,9420-c
#cedfe9,9421-c
#cad9e3,9422-c
#c0d1da,9423-c
#c3e3e7,9424-c
#c1e0ea,9440-c
#c0e0ec,9441-c
#bedde7,9442-c
#bee2e7,9461-c
#b9dbe0,9462-c
#b9d5de,9443-c
#c8e9e9,9480-c
#c5e9ea,9481-c
#bee9e7,9500-c
#c1e3e4,9482-c
#b9e0dd,9501-c
#c6dcda,9483-c
#bddadd,9463-c
#e3e8e3,9042-c
#dfece4,9041-c
#dcebec,9040-c
#c9e2e0,9044-c
#c8deda,9045-c
#cbdeda,9503-c
#c6dad7,9504-c
#e5efe2,9525-c
#e1f0e5,9540-c
#dfece2,9541-c
#d5e9e1,9521-c
#d6e6df,9522-c
#d6e3dc,9523-c
#cde3e0,9502-c
#e5efda,9544-c
#dfefdb,9560-c
#d7e8d2,9561-c
#d6e2cf,9562-c
#d5ddce,9563-c
#cddacd,9542-c
#c7d7c9,9543-c
#eeeec8,9020-c
#e7edc8,9600-c
#e5e8cd,9601-c
#e4e2b7,9122-c
#d9dbbd,9602-c
#d9d9c3,9603-c
#dcd9b9,9123-c
#e1efce,9580-c
#dee7cd,9581-c
#dce1cb,9584-c
#d7dbc8,9582-c
#cdd2ba,9583-c
#d7dbc6,9585-c
#d8cfb9,9163-c
#009ace,801-c
#44d62c,802-c
#ffe900,803-c
#ffaa4d,804-c
#ff7276,805-c
#ff3eb5,806-c
#ea27c2,807-c
#00aada,901-c
#8de971,902-c
#fff36d,903-c
#ffcd8a,904-c
#ff9da7,905-c
#ff7cd6,906-c
#f469db,907-c
#00afdb,908-c
#a9ee8a,909-c
#fdf38a,910-c
#ffd9a4,911-c
#ffacb6,912-c
#ff92da,913-c
#f57fe0,914-c
#00bce3,915-c
#b9efa3,916-c
#f7f4a2,917-c
#ffdfb4,918-c
#ffc0c8,919-c
#ffade3,920-c
#f8a3e6,921-c
#00b796,808-c
#e3e829,809-c
#ffd635,810-c
#ff8f6c,811-c
#ff5fa2,812-c
#fb48c4,813-c
#8a69d4,814-c
#00c0a3,922-c
#ecf166,923-c
#ffe671,924-c
#ffad93,925-c
#ff85bd,926-c
#fc76d9,927-c
#997adb,928-c
#2bc9af,929-c
#eef386,930-c
#ffe983,931-c
#ffbba4,932-c
#ff9bcb,933-c
#fc8de0,934-c
#ab92e1,935-c
#6dd5c3,936-c
#eff4a4,937-c
#fceea8,938-c
#ffcfbe,939-c
#ffb6d9,940-c
#fca9e6,941-c
#c0aee7,942-c
